internationalCode,currency,asxCode,name,alternativeName,acn,abn,website,imageURL,marketCap2021-02-11,effectiveFromDate,effectiveToDate
,,INR,Ioneer Ltd,,,,,,$792.37 M,,
,,VUL,Vulcan Energy Resources Ltd,,,,,,$792.01 M,,
,,MMM,Marley Spoon AG,,,,,,$783.44 M,,
,,JLG,Johns LYNG Group Ltd,,,,,,$781.79 M,,
,,EOS,Electro Optic Systems Holdings Ltd,,,,,,$777.81 M,,
,,ERA,Energy Resources of Australia Ltd,,,,,,$775.19 M,,
,,IAP,Irongate Group,,,,,,$770.24 M,,
,,IMD,IMDEX Ltd,,,,,,$763.17 M,,
,,QPON,Betashares Australian Bank Senior Floating Rate Bond ETF,,,,,,$761.64 M,,
,,RSG,Resolute Mining Ltd,,,,,,$756.17 M,,
,,CIN,Carlton Investments Ltd,,,,,,$736.79 M,,
,,VDHG,Vanguard Diversified High Growth INDEX ETF,,,,,,$736.62 M,,
,,WAF,West African Resources Ltd,,,,,,$734.71 M,,
-,,SIG,Sigma Healthcare Ltd,,,,,,$730.9 M,,
,,ABR,American Pacific Borates Ltd,,,,,,$727.69 M,,
,,SWM,Seven West Media Ltd,,,,,,$722.88 M,,
,,SFY,SPDR S&P/ASX 50 Fund,,,,,,$714.09 M,,
,,MGH,Maas Group Holdings Ltd,,,,,,$712.7 M,,
,,AHY,Asaleo Care Ltd,,,,,,$708.77 M,,
-,,OPH,Ophir High Conviction Fund,,,,,,$706 M,,
,,TGR,Tassal Group Ltd,,,,,,$703.74 M,,
,,MOE,Moelis Australia Ltd,,,,,,$702.81 M,,
,,AAC,Australian Agricultural Company Ltd,,,,,,$699.21 M,,
,,ASIA,Betashares Asia Technology Tigers ETF,,,,,,$698.43 M,,
-,,BVS,Bravura Solutions Ltd,,,,,,$697.01 M,,
,,AQZ,Alliance Aviation Services Ltd,,,,,,$696.47 M,,
,,PDN,Paladin Energy Ltd,,,,,,$689.24 M,,
,,IFM,Infomedia Ltd,,,,,,$688.52 M,,
,,SSM,Service Stream Ltd,,,,,,$682.25 M,,
,,BBN,Baby Bunting Group Ltd,,,,,,$678.59 M,,
,,WSA,Western Areas Ltd,,,,,,$673.91 M,,
